ccode,country,number1000,percentarea,under18
AFG,Afghanistan,134,0,40
ALB,Albania,52,2,47
DZA,Algeria,249,1,20
AND,Andorra,41,53,7
AGO,Angola,638,2,47
AIA,Anguilla,6,37,22
ATG,Antigua and Barbuda,29,28,11
ARG,Argentina,2165,5,8
ARM,Armenia,191,7,8
AUS,Australia,7036,29,7
AUT,Austria,1660,19,5
AZE,Azerbaijan,259,3,11
BHS,Bahamas,62,16,12
BHR,Bahrain,723,48,14
BGD,Bangladesh,1501,1,18
BRB,Barbados,35,12,14
BLR,Belarus,1079,11,3
BEL,Belgium,1268,11,18
BLZ,Belize,60,16,11
BEN,Benin,253,2,26
BTN,Bhutan,52,6,11
BOL,Bolivia (Plurinational State of),149,1,32
BIH,Bosnia and Herzegovina,37,1,17
BWA,Botswana,166,7,23
BRA,Brazil,736,0,14
BRN,Brunei Darussalam,109,25,17
BGR,Bulgaria,154,2,31
BFA,Burkina Faso,709,4,21
BDI,Burundi,300,3,28
CPV,Cabo Verde,15,3,10
KHM,Cambodia,76,0,9
CMR,Cameroon,540,2,32
CAN,Canada,7861,21,8
CAF,Central African Republic,89,2,26
TCD,Chad,490,3,36
CHL,Chile,489,3,21
CHN,China,1000,0,21
COL,Colombia,142,0,31
COM,Comoros,13,2,15
COG,Congo,399,8,27
CRI,Costa Rica,414,8,9
CIV,Côte d'Ivoire,2197,9,14
HRV,Croatia,560,13,4
CUB,Cuba,13,0,9
CYP,Cyprus,189,16,9
CZE,Czechia,433,4,5
PRK,Democratic People's Republic of Korea,49,0,18
COD,Democratic Republic of the Congo,879,1,29
DNK,Denmark,657,11,9
DJI,Djibouti,116,12,21
DMA,Dominica,7,9,36
DOM,Dominican Republic,425,4,18
ECU,Ecuador,399,2,34
EGY,Egypt,478,0,16
SLV,El Salvador,42,1,17
GNQ,Equatorial Guinea,222,18,1
ERI,Eritrea,16,0,24
EST,Estonia,193,15,3
SWZ,Eswatini,33,2,20
ETH,Ethiopia,1227,1,43
FJI,Fiji,14,2,19
FIN,Finland,344,6,11
FRA,France,7903,12,7
GAB,Gabon,280,14,24
GMB,Gambia,205,10,26
GEO,Georgia,78,2,21
DEU,Germany,12165,15,5
GHA,Ghana,418,1,31
